云服务采购项目-03包云环境国产化软件及安全服务采购结算价格,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
50,安全服务,网络安全服务,VPN-10用户,1、在通信双方之间建立加密连接的方法保证数据传输的机密性，建立传输安全防护体系，解决了数据在传输过程中被非法获取、篡改的风险。提供授权数量：10用户。2、不包含云化部署需要占用的云资源。,1,套/日,23.23,0.98,22.77
51,安全服务,网络安全服务,VPN-50用户,1、在通信双方之间建立加密连接的方法保证数据传输的机密性，建立传输安全防护体系，解决了数据在传输过程中被非法获取、篡改的风险。提供授权数量：50用户。2、不包含云化部署需要占用的云资源。,1,套/日,59.25,0.98,58.07
52,安全服务,网络安全服务,VPN-100用户,在通信双方之间建立加密连接的方法保证数据传输的机密性，建立传输安全防护体系，解决了数据在传输过程中被非法获取、篡改的风险。提供授权数量：100用户。2、不包含云化部署需要占用的云资源。,1,套/日,120.45,0.98,118.04
53,安全服务,网络安全服务,VPN-500用户,1、在通信双方之间建立加密连接的方法保证数据传输的机密性，建立传输安全防护体系，解决了数据在传输过程中被非法获取、篡改的风险。提供授权数量：500用户。2、不包含云化部署需要占用的云资源。,1,套/日,195.09,0.98,191.19
54,安全服务,网络安全服务,WEB应用防火墙－站点授权,单实例保护1个域名，防护带宽10Mpbs。,1,套/日,25.45,0.98,24.94
55,安全服务,网络安全服务,WEB应用防火墙-20M防护流量授权,WEB应用防火墙－防护流量20Mbps，HTTP最大新建连接数3000，HTTP最大并发连接数30000；Web应用防火墙是一款专注为网站、APP等Web应用提供安全防护的专业应用安全防护产品。通过专享安全服务方式，实现HTTP协议规范性检查、注入攻击防护、跨站脚本攻击防护、网页木马防护、信息泄露防护、三方组件漏洞防护、CSRF跨站请求伪造防护等能力。,1,套/日,31.88,0.98,31.24
56,安全服务,网络安全服务,WEB应用防火墙-50M防护流量授权,防护流量50Mbps，HTTP最大并发连接数50000，HTTP最大新建数5000；Web应用防火墙是一款专注为网站、APP等Web应用提供安全防护的专业应用安全防护产品。通过专享安全服务方式，实现HTTP协议规范性检查、注入攻击防护、跨站脚本攻击防护、网页木马防护、信息泄露防护、三方组件漏洞防护、CSRF跨站请求伪造防护等能力。,1,套/日,64.5,0.98,63.21
57,安全服务,网络安全服务,APT威胁检测（100M）,性能：100M；对各种WEB攻击、邮件社工类攻击进行检测；多维度全方位发现失陷主机；识别内网中横向扩散及渗透攻击行为；对检测对象的会话特征进行多维度监控统计；对流量中的资产进行统计分析；提供综合威胁分析、主机威胁分析、外部威胁分析等多个智能报表；提供综合管理和关联分析能力。,1,套/日,62.6,0.98,61.35
58,安全服务,网络安全服务,APT威胁检测（1G）,性能：1G；对各种WEB攻击、邮件社工类攻击进行检测；多维度全方位发现失陷主机；识别内网中横向扩散及渗透攻击行为；对检测对象的会话特征进行多维度监控统计；对流量中的资产进行统计分析；提供综合威胁分析、主机威胁分析、外部威胁分析等多个智能报表；提供综合管理和关联分析能力。,1,套/日,109.44,0.98,107.25
59,安全服务,态势感知服务,态势感知服务,态势感知服务,1,套/日,1208.22,0.98,1184.06
60,安全服务,可信计算,可信主机防护系统,对云平台内所有形态主机进行可信管控,1,核/日,13.92,0.98,13.64
61,安全服务,可信计算,可信边缘防护系统,对边缘计算装置整体运行提供可靠安全保障,1,点/日,12.94,0.98,12.68
62,安全服务,可信计算,可信终端防护系统,对可信终端提供安全保障,1,点/日,1.61,0.98,1.58
63,安全服务,网络安全服务,等级保护二级所需的基本能力套餐,支持等保二级云防护基础版包括：防火墙50M，主机EDR（不含防篡改）10个授权，堡垒机10个授权，日志审计10个授权。,1,实例/日,93.97,0.98,92.09
64,安全服务,网络安全服务,提供等级保护三级所需的基本能力套餐,支持等保三级云防护基础版、下一代防火墙50M，主机EDR（不含防篡改）10个授权，堡垒机10个授权，日志审计10个授权、数据库审计实例2个、洞扫描10个资产/IP。,1,实例/日,177.2,0.98,173.66
65,安全服务,密码安全服务,时间戳服务,对外提供时间戳签署服务，包括数字时间戳、交叉认证等。（软件镜像）,1,项,98000,0.98,96040
66,安全服务,密码安全服务,协同签名服务,面向移动终端软件密码模块提供证书管理、密钥管理、协同运算等服务。（软件镜像）,1,项,98000,0.98,96040
67,安全服务,密码安全服务,电子签章服务,根据业务应用场景需要集成其他签名类密码产品，扩展出对应的密码安全服务，比如电子签章制作、电子签章验证服务等，使用签章次数不限。（软件镜像）,1,项,98000,0.98,96040
68,安全服务,密码安全服务,数据库透明加密服务,对数据库实现安全加固，有效解决数据库存储文件明文泄漏、数据库管理员对敏感数据的非法访问、绕过合法应用的数据库操作等安全风险。（软件镜像）,1,项,98000,0.98,96040
69,安全服务,密码安全服务,二级密码模块服务,满足用户对移动办公场景中用户证书、密钥的使用安全需求。密码模块采用了 SM2、SM3、SM4等密码算法，对外提供标准的密码应用接口，并支持为第三方应用提供密码运算、证书管理等功能提供安全服务、空中发证、签名验签服务、运营管理服务、增值信息服务等能力。（软件产品）,1,套,78400,0.98,76832
70,安全服务,密码安全服务,智能密码钥匙（USBKey）,数字证书和私钥的安全载体，支持在硬件中进行加密运算，保证数字证书和私钥的合法使用。（硬件产品）,1,个,29.4,0.98,28.81
71,安全服务,密码安全服务,个人数字证书,由可信认证机构（CA）颁发，用于验证个人客户端身份、加密传输数据及保障数据完整性。,1,个/年,29.4,0.98,28.81
72,安全服务,密码安全服务,站点数字证书,由可信认证机构（CA）颁发，用于验证服务器与客户端身份、加密传输数据及保障数据完整性。,1,个/年,2940,0.98,2881.2
73,安全服务,密码安全服务,国密浏览器,在云平台与云平台管理员、租户之间建立安全通信通道，部署在客户端；兼容SM2、SM3、SM4等密码算法；支持双证书体系（加密证书+签名证书），强化通信链路安全性，自动识别并调用合规加密模块，确保业务系统无缝衔接。（软件产品）,1,个,49,0.98,48.02
74,安全服务,密码安全服务,密码综合管理服务,对云上应用系统提供统一对外服务接口，对业务应用系统重要数据的不同算法、不同类型、不同方式的加解密服务，以及身份认证、数字签名服务、数字验签服务、数据加密服务、数据解密服务等，并支持对密码设备、资源的集中管理、密钥的集中管理、密码应用的态势感知。（软件平台）,1,套,735000,0.98,720300
75,安全服务,密码安全服务,云服务器密码机,为密码综合管理服务平台提供密钥管理服务，将物理服务器密码机的网络虚拟成不同网络的服务器密码设备，可以为不同网段上的用户应用提供密码服务，处于不同网段的服务器密码机之间网络隔离。通过划分密钥存储区域实现密钥隔离，对密钥进行全程加密。以及密钥生命周期管理，提供密钥托管、对称密钥管理和非对称密钥管理等功能。（硬件设备）,1,台,196000,0.98,192080
76,安全服务,密码安全服务,网络和通讯安全传输服务,通过隧道技术将数据链路层的数据包封装后传输，使得用户能够通过公共网络实现安全的点对点连接。（硬件设备）,1,台,83300,0.98,81634
77,安全服务,密码安全服务,咨询服务,业务应系统调研（系统现状、关键业务数据、业务流程等梳理）、密码应用风险分析，密码应用需求分析，密码应用符合性分析，密码应用总体应用框架设计，密码应用关键应用流程设计等；根据用户应用情况定制密码应用方案。（咨询服务）,1,次,58800,0.98,57624
78,安全服务,运行安全服务,渗透测试服务－针对重要系统,渗透测试服务－针对单个业务系统。1.服务内容：通过人工方式，采取黑盒的测试形式，发现网络和业务系统中网络和系统存在的安全缺陷，提供渗透测试报告和改进建议。对应用系统按照业务流程进行渗透测试工作，测试范围包括应用系统、中间件、操作系统、数据库、接口程序等；2.服务形式：提供云端安全渗透测试专家+提供1名驻场渗透测试工程师；3.服务要求：提供必要的渗透工具，根据应用系统建设方的需求，对前端、应用服务器和APP程序进行渗透测试，漏洞修复后进行复测验证修复效果，提供《渗透测试报告》；4.服务范围：云上系统。,1,系统/次,23826.74,0.98,23350.21
79,安全服务,运行安全服务,源代码安全检查－针对重要系统,"源代码安全检查－针对单个业务系统；依据OWASPTOP10，通过工具扫描、人工确认、人工代码抽查等方式，对Web应用进行脆弱性（SQL注入、跨站脚本等）、权限（权限控制不严格、表单逻辑处理错误等）、结构的安全检查，发现源代码中存在的安全风险。审计语言包括：Java、C#、PHP、C/C++、Python、Beego等。审计范围包括：
1、第三方类库安全审计：由资深代码审计工程师对信息系统开发过程中所引入的第三方类库进行漏洞审计，依据CNVD、CVE出具第三方类库漏洞审计内容，提供修复建议；
2、前后端开发技术框架安全审计：由资深代码审计工程师对搭建信息系统所使用的前后端技术架构进行安全审计，依据CNVD、CVE出具前后端开发技术架构洞审计内容，提供修复建议；
3、开源插件、组件安全审计：由资深代码审计工程师对搭建信息系统所使用的开源插件、组件进行安全审计，依据CNVD、CVE出具开源插件、组件漏洞审计内容，提供修复建议。",1,系统/次,48118,0.98,47155.64
80,安全服务,运行安全服务,攻防演练评估服务,"全云全域范围。
1.服务内容：通过安全服务商尽可能最真实且现实的方式模拟可能的攻击者的行为和技术，为客户提供测试安全策略与防范技术的有效性的服务。检测网络安全纵深防护能力、应急响应手段是否有效以及清楚的了解高级攻击产生的最大危害，帮助客户强化防护能力、完善应急响应手段、引导正确的安全建设方向等；
2.服务形式：在攻防演练服务期间，至少提供4名现场安全防守专家+云端支持团队+安全攻防相关专业工具；
3.服务要求：远程加现场以人工评估为主，安全攻防专家使用专业攻防技术工具为辅，采取信息收集、社会工程学攻击、应用系统（含客户端）渗透、基础网络组件渗透、主机操作系统渗透、数据库渗透、网络设备渗透、不同网段间的渗透等手段中的最适合方式进行。整个评估过程，基于渗透测试执行标准（PETS）和信息系统安全评估标准（ISSAF），并确保提供一个完整、全面的网络层、应用层渗透测试等方式中最适用的方式进行，最终在每次攻防演练后提供《红、蓝队评估服务工作方案》《红、蓝队评估测试报告》《红、蓝队工作日报》《红蓝对抗总结报告》，并且每年不少于2次，每次不少于50人天，每年不少于100人天。",1,年,263522,0.98,258251.56
81,安全服务,运行安全服务,高级应急响应服务,当安全事件发生时，安全团队分析判断事件因果、降低损失、提供有效的问题解决建议。根据事件类别，通过远程和现场支持的方式协助对事件进行紧急分析和处理。通过事件分析、原因查找、事件处置、证据保留及事件溯源等方式，快速解决信息安全事件及问题，恢复业务及系统的安全运行，并确保所有事件应急处置过程得到有效控制和记录。在需要司法机关介入时，提供法律认可的数字证据。输出《安全事件应急处置报告》《安全事件加固处置建议》。,1,次,87710,0.98,85955.8
82,安全服务,运行安全服务,安全漏洞扫描服务（单系统）,按次提供安全漏洞扫描服务（单系统），集主机安全扫描、网站安全扫描、数据安全扫描、弱口令发现和基线配置核查于一体的功能，能够精准评估多维度资产的安全风险，准确发现网络中各主机、设备存在的网络安全漏洞，并给出详细的描述和解决方案，从根本解决网络安全问题；扫描频次：单次扫描服务。,1,次,2465.29,0.98,2415.98
83,安全服务,运行安全服务,安全漏洞扫描服务（不限资产）,"全云全域范围按年提供安全漏洞扫描服务（每季度一次扫描，共4次扫描），包括以下功能：1、主机扫描：用于分析和指出有关网络的安全漏洞及被测系统的薄弱环节，给出详细的检测报告，并针对检测到的网络安全隐患给出相应的修补措施和安全建议；
2、网站扫描：可以帮助用户充分了解Web应用存在的安全隐患，建立安全可靠的Web应用服务，改善并提升应用系统抗各类Web应用攻击的能力；
3、数据库扫描：帮助用户充分了解数据库存在的安全隐患，通过定期数据库系统安全自我检测与评估，提升用户各类数据库的抗风险能力；
4、基线核查：全面覆盖操作系统、数据库、中间件、防火墙、路由器、交换机等设备类型，出具修复加固建议报告。",1,项/年,139454,0.98,136664.92
84,安全服务,运行安全服务,暴露面检查服务-针对整体,暴露面检查服务-针对整体,1,次,98000,0.98,96040
85,安全服务,运行安全服务,信息安全风险评估,信息安全风险评估服务,1,次,83300,0.98,81634
